,ID_SIR_TMJ,X_DEPART,X_FIN,Y_DEPART,Y_FIN,Z_DEPART,Z_FIN,AXE,CUMULD,CUMULF,PLOD,ABSD,PLOF,ABSF,TYPE_CPT,SENS,LIBELLE,LOCALISATI,COMMUNE,CODEINSEE,CATEGORIE,ROUTE,PLOC,ABSC,CUMULC,LATITUDE,LONGITUDE,DERNANCPT,ANNEE_N,MJATVTCJN,MJAPLTCJN,MJAPPLTCJN,COTE,EMPLACEMEN,VOIE,DISTANCE
0,11,346176.4032,343596.0104,6788422.1916,6786597.5813,0.0,0.0,N24,3214,6423,5,64,8,273,Permanent,3,Rennes - Lorient,N24 OH-10_1 (LE RHEU),LE RHEU,35240,6N,35 N24,6,750,0,48.0918884,-1.7722661,2021,2021,27074,3526,13.02,,,0,
1,15,358631.3093,357698.5927,6788839.0737,6788351.2813,0.0,0.0,N136,1840,2881,1,690,2,736,Permanent,3,Porte 2 - Porte 3,"N136 03-02 (CESSON, Bellangeraie)",CESSON-SEVIGNE,35051,6N,35 N136,2,172,0,0.0,0.0,2021,2021,58663,8035,13.7,,,0,
2,17,354730.3452,352551.7109,6786240.6398,6785915.4113,0.0,0.0,N136,6470,8729,6,331,8,582,Permanent,3,Porte 5 - Portec 6,"N136 05-06_2 (RENNES, Le Blosne)",NOYAL-CHATILLON-SUR-SEICHE,35206,6N,35 N136,8,0,0,0.0,0.0,2021,2021,85871,9727,11.33,,,0,
3,18,356074.206,354730.3452,6787206.3417,6786240.6398,0.0,0.0,N136,4825,6470,4,671,6,331,Permanent,3,Porte 4 - Porte 5,"N136 05-04 (RENNES, Les Loges)",CHANTEPIE,35055,6N,35 N136,5,976,0,0.0,0.0,2021,2021,71800,8913,12.41,,,0,
4,19,352551.7109,351066.265,6785915.4113,6785807.6549,0.0,0.0,N136,8729,10220,8,582,10,87,Permanent,3,Porte 6 - Porte 7,"N136 06-07 (RENNES, Bréquigny)",NOYAL-CHATILLON-SUR-SEICHE,35206,6N,35 N136,9,700,0,0.0,0.0,2021,2021,89957,8590,9.55,,,0,
5,21,350073.8407,349280.8087,6786892.4135,6788097.035,0.0,0.0,N136,11856,13307,11,752,13,224,Permanent,3,Porte 8 - Porte 9,"N136 09-08_1 (RENNES, Cleunay)",SAINT-JACQUES-DE-LA-LANDE,35281,6N,35 N136,13,146,0,0.0,0.0,2021,2021,103038,9301,9.03,,,0,
6,22,349280.8087,349121.2486,6788097.035,6788880.5854,0.0,0.0,N136,13307,14112,13,224,14,9,Permanent,3,Porte 9 - Porte 10,"N136_10 (RENNES, Pte de Lorient)",RENNES,35238,6N,35 N136,14,0,0,0.0,0.0,2021,2021,106928,9423,8.81,,,0,
7,24,347383.6889,349006.5018,6744834.6234,6760211.3365,0.0,0.0,N137,0,16146,0,0,16,399,Permanent,3,Nantes - Rennes,N137 BAIN de BRETAGNE (Stat.),BAIN-DE-BRETAGNE,35012,6N,35 N137,12,520,0,0.0,0.0,2021,2021,26621,2638,9.91,,,0,
8,25,332624.4164,338967.8307,6847836.9475,6848642.1694,0.0,0.0,D2,0,6545,0,0,6,802,Permanent,3,D301 - D376 D6 D74,D2.LA.GARDE,SAINT-MALO,35288,C,35 D2,1,740,0,48.6295743,-1.966292,2021,2021,7114,292,4.1,,,0,
9,26,349006.5018,350014.6435,6760211.3365,6773834.9081,0.0,0.0,N137,16146,30409,16,399,31,3,Permanent,3,D777 - D41,N137 BOURG DES COMPTES (Stat.),BOURG-DES-COMPTES,35033,6N,35 N137,25,0,0,0.0,0.0,2021,2021,34809,4682,13.45,,,0,
10,33,398922.7053,371458.6863,6783643.6385,6786824.9505,0.0,0.0,N157,0,28497,0,0,28,490,Permanent,3,Paris - Rennes,N157 VITRE (Erbrée) (Stat.),ERBREE,35105,6N,35 N157,5,800,0,0.0,0.0,2021,2021,30188,5610,18.58,,,0,
11,35,371458.6863,367259.9598,6786824.9505,6787572.7583,0.0,0.0,N157,28497,32774,28,490,33,713,Permanent,3,Paris - Rennes,N157 SERVON (Stat.),SERVON-SUR-VILAINE,35327,6N,35 N157,32,100,0,0.0,0.0,2021,2021,47414,7553,15.93,,,0,
12,38,323810.8655,312330.8738,6801842.0073,6801239.6784,0.0,0.0,N164,0,13711,0,0,13,1014,Permanent,3,N12 - Dép. 22,N164 ST MEEN (Stat.),SAINT-ONEN-LA-CHAPELLE,35302,6N,35 N164,7,78,0,0.0,0.0,2021,2021,10432,1847,17.7,,,0,
13,40,338897.3005,348413.9725,6845075.8754,6839033.0053,0.0,0.0,D4,5708,17429,6,945,18,705,Permanent,3,St Malo - Dol de Bgne,D4.FRESNAIS,LA FRESNAIS,35116,C,35 D4,13,429,0,48.582,-1.82579,2021,2021,4963,291,5.86,,,0,
14,45,366102.498,352089.2793,6838611.262,6838791.5416,0.0,0.0,N176,0,14173,0,0,14,290,Permanent,3,Pontorson - Dol,N176 BAGUER-PICAN (Stat.),BAGUER-PICAN,35010,6N,35 N176,12,538,0,0.0,0.0,2021,2021,14827,1903,12.84,,,0,
15,50,338981.4491,339282.4057,6848639.3527,6848396.1899,0.0,0.0,D6,3267,3695,3,293,3,721,Temporaire,3,D2 - D76,ST MELOIR DES ONDES,SAINT-MELOIR-DES-ONDES,35299,C,35 D6,3,560,0,48.6355215,-1.8992959,2021,2021,2519,73,2.9,,,0,
16,3,349772.5135,347002.5796,6791550.2341,6791452.3784,0.0,0.0,N12,19625,22605,62,0,65,680,Permanent,3,Rennes - St Brieuc,"N12 OI-12 (PACE, Bel Air)",PACE,35210,6N,35 N12,63,900,0,48.1253302,-1.7252513,2021,2021,21318,3243,15.21,,,0,
17,5,349082.3231,347002.5796,6790368.0947,6791452.3784,0.0,0.0,N1012,0,2368,0,0,2,360,Permanent,3,Rennes - St Brieuc,"N1012 OI-11 a (PACE, Pont Lagot)",PACE,35210,6N,35 N1012,0,921,0,48.1225215,-1.7301993,2021,2021,41850,3949,9.44,,,0,
18,6,345540.3823,341014.4945,6792525.3277,6795322.841,0.0,0.0,N12,24436,29882,67,511,72,980,Permanent,3,Rennes - St Brieuc,N12 EX-OI (PONT DE PACE),PACE,35210,6N,35 N12,68,595,0,48.1410145,-1.7749071,2021,2021,58419,8203,14.04,,,0,
19,10,349188.2281,346176.4032,6789055.6746,6788422.1916,0.0,0.0,N24,0,3214,0,0,5,64,Permanent,3,Rennes - Lorient,"N24 OH-10_2 (LE RHEU, les 3 Marches)",VEZIN-LE-COQUET,35353,6N,35 N24,3,900,0,48.1045265,-1.7412495,2021,2021,32323,3232,10.0,,,0,
20,118,370856.5915,371455.0015,6807201.9129,6808746.0386,0.0,0.0,D23,16162,17889,16,23,17,768,Temporaire,3,D102 - D102,MEZIERE SUR COUESNON,MEZIERES-SUR-COUESNON,35178,C,35 D23,17,500,0,48.290997,-1.4341327,2021,2021,3379,119,3.52,,,0,
21,158,351536.8119,354587.3145,6794926.0706,6794528.3974,0.0,0.0,D29,6882,10117,7,63,10,291,Permanent,3,Pacé - Betton,D29_OL.OM,BETTON,35024,A,35 D29,8,550,0,48.1630404,-1.6700399,2021,2021,12294,639,5.2,,,0,
22,77,380244.9125,384703.8596,6826776.2436,6826556.638,0.0,0.0,D15,17546,22422,17,769,22,749,Temporaire,3,A84 - D798,MONTOURS,MONTOURS,35191,C,35 D15,21,500,0,48.4573378,-1.2804718,2021,2021,2489,270,10.83,,,0,
23,78,384703.8596,394033.3444,6826556.638,6828066.443,0.0,0.0,D15,22422,32770,22,749,33,385,Temporaire,3,D798 - D14,VILLAMEE,VILLAMEE,35357,C,35 D15,27,500,0,48.4611888,-1.2094469,2021,2021,2029,184,9.06,,,0,
24,109,349121.2486,349151.3,6788880.5854,6790831.466,0.0,0.0,N136,14112,16096,14,9,16,16,Permanent,3,Porte 10 - Porte 11,"N136_11_10 (RENNES, Champeau)",RENNES,35238,6N,35 N136,14,779,0,0.0,0.0,2021,2021,104579,9304,8.9,,,0,
25,193,347149.4043,348974.7212,6783425.7503,6782719.8714,0.0,0.0,D34,13193,15108,13,790,15,801,Permanent,3,Chavagne - Vern,D34_OE.OD,CHARTRES-DE-BRETAGNE,35066,A,35 D34,14,910,0,48.05324,-1.72551,2021,2021,20975,2998,14.29,,,0,
26,195,351181.5295,352535.332,6781428.391,6781797.4107,0.0,0.0,D34,17638,19053,18,679,20,355,Permanent,3,Chartres de B - Vern,D34_OB.OC,NOYAL-CHATILLON-SUR-SEICHE,35206,A,35 D34,19,800,0,48.04053,-1.67958,2021,2021,17386,1534,8.82,,,0,
27,241,322618.2551,323505.4813,6783856.3008,6784703.2197,0.0,0.0,D40,14508,15806,15,45,16,353,Temporaire,3,D61 - D36 D35 D6,ST PERAN,SAINT-PERAN,35305,C,35 D40,15,500,0,48.0472319,-2.0672826,2021,2021,2753,119,4.33,,,0,
28,348,327343.127,327353.969,6768276.866,6766296.5466,0.0,0.0,D65,8923,10911,8,824,10,864,Temporaire,3,D776 - D48,MAURE DE BRETAGNE,MAURE-DE-BRETAGNE,35168,C,35 D65,10,0,0,47.898168,-1.9901193,2021,2021,3159,208,6.57,,,0,
29,380,381233.5968,379637.4363,6819076.563,6829996.1654,0.0,0.0,A84,38559,49811,135,171,146,399,Permanent,3,Rennes - Caen,A84 30-31 LA JUTAIS (Montours),MONTOURS,35191,6N,35 A84,142,200,0,0.0,0.0,2021,2021,20459,3648,17.83,,,0,
30,388,363636.7081,365618.4152,6798561.9951,6800500.7812,0.0,0.0,A84,8415,11304,104,822,107,904,Permanent,3,Rennes - Caen,A84 26-27 LIFFRE,LIFFRE,35152,6N,35 A84,107,180,0,0.0,0.0,2021,2021,37220,5568,14.96,,,0,
31,394,332805.8534,333157.3077,6805808.5584,6801265.661,0.0,0.0,D72,0,4600,0,0,4,583,Temporaire,3,D21  - D28,BEDEE,BEDEE,35023,B,35 D72,2,500,0,48.2306702,-1.945903,2021,2021,4378,203,4.64,,,0,
32,355,355668.5396,357012.7561,6792284.6127,6793076.8903,0.0,0.0,N136,23453,25086,23,373,25,6,Permanent,3,Pt 15 D175 - Pt 16 A84,"N136 16-15 2 (BETTON, Calendou)",BETTON,35024,6N,35 N136,24,335,0,0.0,0.0,2021,2021,56925,6217,10.92,,,0,
33,366,372448.7018,381428.9464,6804728.2969,6812301.2688,0.0,0.0,A84,19554,31626,116,133,128,263,Permanent,3,Rennes - Caen,A84 28-29 LA MEULE (St Jean/Couesnon),SAINT-JEAN-SUR-COUESNON,35282,6N,35 A84,118,332,0,0.0,0.0,2021,2021,29392,4695,15.97,,,0,
34,321,353012.892,355668.5396,6792621.6801,6792284.6127,0.0,0.0,N136,20725,23453,20,645,23,373,Permanent,3,Pt 14 - Pt 15 D175,"N136 14-15 (ST GREGOIRE, Gayeule)",BETTON,35024,6N,35 N136,22,569,0,0.0,0.0,2021,2021,63631,7479,11.75,,,0,
35,334,336968.9145,337750.2642,6784634.4777,6783166.1267,0.0,0.0,D62,29988,31650,29,669,31,438,Temporaire,3,N24 - D36,BREAL SOUS MONTFORT,BREAL-SOUS-MONTFORT,35037,B,35 D62,30,0,0,48.0562418,-1.8716125,2021,2021,11424,475,4.16,,,0,
36,396,334365.3858,333008.396,6797749.5228,6793482.8686,0.0,0.0,D72,8761,14545,7,1234,12,686,Permanent,3,D31 N2012 - D62,D72.BEDEE,BEDEE,35023,B,35 D72,10,300,0,48.1576229,-1.9465247,2021,2021,10363,682,6.58,,,0,
37,405,337572.9688,336787.4813,6842374.4883,6840763.3616,0.0,0.0,D74,13799,15793,13,661,15,629,Permanent,3,Cancale - Chateauneuf,D74.ST.PERE,SAINT-PERE,35306,B,35 D74,14,790,0,48.57004,-1.91865,2021,2021,7339,561,7.64,,,0,
38,418,340052.2716,339305.7568,6849295.9022,6848394.0299,0.0,0.0,D76,5190,6461,4,1102,6,269,Temporaire,3,D155 - D376,ST MELOIR DES ONDES,SAINT-MELOIR-DES-ONDES,35299,B,35 D76,6,0,0,48.6366559,-1.8967209,2021,2021,6569,297,4.52,,,0,
39,438,351654.2801,351440.6265,6838822.9152,6838093.253,0.0,0.0,D80,6661,7391,6,652,7,396,Temporaire,3,N176 - D155,Dol de Bretagne,DOL-DE-BRETAGNE,35095,B,35 D80,7,340,0,48.5508263,-1.7249543,2021,2021,7130,441,6.19,,,0,
40,450,350897.94,350189.9617,6816755.1116,6810249.4565,0.0,0.0,D82,14450,21128,15,180,22,126,Permanent,3,D20 - D221,D82.DINGE,DINGE,35094,C,35 D82,17,425,0,48.3410826,-1.7180675,2021,2021,1314,89,6.76,,,0,
41,454,351398.299,351506.9648,6797763.3292,6794942.3035,0.0,0.0,D82,34227,37075,36,36,38,887,Permanent,3,Melesse - St Grégoire,D82_EX.OL,SAINT-GREGOIRE,35278,C,35 D82,38,75,0,48.16876,-1.69325,2021,2021,9976,546,5.47,,,0,
42,605,389740.7299,387533.0366,6782017.7466,6782440.4579,0.0,0.0,D110,13762,16070,13,779,16,115,Temporaire,3,D88 - D178,ARGENTRE DU PLESSIX,ARGENTRE-DU-PLESSIS,35006,C,35 D110,14,900,0,48.0646575,-1.1809277,2021,2021,5828,490,8.4,,,0,
43,610,394467.3639,390874.3528,6784294.9096,6781323.8659,0.0,0.0,D111,4719,9836,4,796,9,321,Temporaire,3,D857 - D33 D88,ARGENTRE DU PLESSIS,ARGENTRE-DU-PLESSIS,35006,C,35 D111,7,840,0,48.0637254,-1.1342358,2021,2021,2240,160,7.13,,,0,
44,689,376867.7214,376330.0917,6755171.9815,6757283.2808,0.0,0.0,D173,7390,9689,7,381,9,680,Permanent,3,Rennes - Angers,D173_MARTIGNE,MARTIGNE-FERCHAUD,35167,A,35 D173,9,54,9063,47.83051,-1.32804,2021,2021,9587,1977,20.63,,,0,
45,691,375719.3651,371797.4276,6759757.3034,6765375.7624,0.0,0.0,D173,12278,19660,12,218,19,588,Permanent,3,Angers - Rennes,D173_RETIERS,COESMES,35082,A,35 D173,15,570,6246,47.8807801,-1.3636768,2021,2021,8866,1784,20.12,,,0,
