depart;destination;durée
COMBRIT;COMBRIT;0.0
COMBRIT;ÎLE-TUDY;475.5
COMBRIT;TRÉMÉOC;561.8
COMBRIT;PONT-L'ABBÉ;558.4
COMBRIT;GOUESNACH;868.6
COMBRIT;CLOHARS-FOUESNANT;566.6
COMBRIT;PLOMELIN;791.9
COMBRIT;BÉNODET;579.3
COMBRIT;LOCTUDY;1021.7
COMBRIT;PLONÉOUR-LANVERN;868.9
COMBRIT;PLOBANNALEC-LESCONIL;881.9
COMBRIT;PLEUVEN;989.6
COMBRIT;PLUGUFFAN;776.5
COMBRIT;PLOMEUR;881.5
COMBRIT;FOUESNANT;1182.7
COMBRIT;SAINT-JEAN-TROLIMON;1150.4
COMBRIT;TREFFIAGAT;1193.2
COMBRIT;PLOGASTEL-SAINT-GERMAIN;1267.2
COMBRIT;PEUMERIT;1189.5
COMBRIT;QUIMPER;1192.2
COMBRIT;TRÉGUENNEC;1109.7
COMBRIT;GUILVINEC;1252.2
COMBRIT;TRÉOGAT;1127.5
COMBRIT;PLONÉIS;1128.7
COMBRIT;SAINT-ÉVARZEC;1724.1
COMBRIT;PLOVAN;1396.6
COMBRIT;LA FORÊT-FOUESNANT;1539.4
COMBRIT;PENMARCH;1171.4
COMBRIT;POULDREUZIC;1381.3
COMBRIT;GOURLIZON;1402.5
COMBRIT;GUENGAT;1264.6
COMBRIT;LANDUDEC;1545.4
COMBRIT;ERGUÉ-GABÉRIC;1505.7
COMBRIT;CONCARNEAU;1857.8
COMBRIT;SAINT-YVI;1713.0
COMBRIT;LE JUCH;1481.5
COMBRIT;GUILER-SUR-GOYEN;1766.4
COMBRIT;POULDERGAT;1694.2
COMBRIT;PLOGONNEC;1858.8
COMBRIT;PLOZÉVET;1656.1
COMBRIT;LANDUDAL;2032.0
COMBRIT;LANDRÉVARZEC;1851.6
COMBRIT;LOCRONAN;1885.0
COMBRIT;MELGVEN;2150.4
COMBRIT;KERLAZ;1906.8
COMBRIT;ELLIANT;2432.4
COMBRIT;BRIEC;1878.8
COMBRIT;MAHALON;2129.7
COMBRIT;DOUARNENEZ;1679.7
COMBRIT;TRÉGUNC;2574.1
COMBRIT;QUÉMÉNÉVEN;2354.0
COMBRIT;PLONÉVEZ-PORZAY;2295.9
