depart,destination,durée
GUERLÉDAN,LOCMALO,1799.9
LOCMINÉ,SAINT-GÉRAND-CROIXANVEC,1799.9
PLOGONNEC,LANDUDEC,1799.9
MEILLAC,DOL-DE-BRETAGNE,1799.9
BRÉLIDY,TRÉGROM,1799.9
MOHON,ILLIFAUT,1799.8
SAINT-ERBLON,LA CHAPELLE-THOUARAULT,1799.8
LES IFFS,FEINS,1799.7
LE TRÉHOU,GUICLAN,1799.7
LIZIO,CAMPÉNÉAC,1799.7
VANNES,BILLIERS,1799.7
PLUGUFFAN,PLONÉVEZ-PORZAY,1799.6
PLOUASNE,VILDÉ-GUINGALAN,1799.6
SAINT-MALO-DES-TROIS-FONTAINES,CAMPÉNÉAC,1799.6
LANDÉHEN,SAINT-JULIEN,1799.6
BOURG-DES-COMPTES,LE THEIL-DE-BRETAGNE,1799.6
LA MOTTE,CRÉDIN,1799.6
PLOUGONVEN,HENVIC,1799.6
ERGUÉ-GABÉRIC,DOUARNENEZ,1799.6
LA CHAPELLE-THOUARAULT,SAINT-ERBLON,1799.6
PLOEMEL,SÉNÉ,1799.5
SAINT-GUYOMARD,SAINT-NICOLAS-DU-TERTRE,1799.5
SAINT-GILLES-PLIGEAUX,SAINT-AGATHON,1799.5
PLOMELIN,FOUESNANT,1799.5
LIVRÉ-SUR-CHANGEON,CHAUVIGNÉ,1799.4
GOVEN,LE SEL-DE-BRETAGNE,1799.4
HIREL,LE MINIHIC-SUR-RANCE,1799.4
IRVILLAC,LANNEUFFRET,1799.4
MAEN ROCH,MELLÉ,1799.4
BRIGNAC,COËTLOGON,1799.4
LARRÉ,SURZUR,1799.4
CUGUEN,TRIMER,1799.3
MONTFORT-SUR-MEU,LONGAULNAY,1799.3
MOUSTÉRU,LANRIVAIN,1799.3
LANILDUT,BOURG-BLANC,1799.3
LE TRONCHET,LANGROLAY-SUR-RANCE,1799.3
PLÉDRAN,SAINT-GILDAS,1799.2
MALANSAC,MUZILLAC,1799.2
PLOUHA,LA MÉAUGON,1799.2
BERRIC,PLOEREN,1799.2
SAINT-AUBIN-DU-CORMIER,SAINT-AUBIN-D'AUBIGNÉ,1799.2
LORIENT,RIEC-SUR-BÉLON,1799.1
LANHOUARNEAU,PENCRAN,1799.1
DOURDAIN,CESSON-SÉVIGNÉ,1799.1
LOUDÉAC,KERFOURN,1799.1
LA TRINITÉ-SURZUR,TRÉDION,1799
GUIDEL,SAINT-THURIEN,1799
GOMENÉ,SAINT-MALO-DES-TROIS-FONTAINES,1799
PENVÉNAN,PLEUBIAN,1799
GÉVEZÉ,FEINS,1799
AUBIGNÉ,CUGUEN,1799
SAINT-CHRISTOPHE-DE-VALAINS,DINGÉ,1799
BRÉCÉ,CHAMPEAUX,1798.9
LAMPAUL-GUIMILIAU,BRASPARTS,1798.8
CALORGUEN,LES IFFS,1798.8
LANRODEC,PLAINE-HAUTE,1798.8
BON REPOS SUR BLAVET,KERGRIST-MOËLOU,1798.8
PONTIVY,LA MOTTE,1798.8
QUINTIN,PORDIC,1798.8
ARRADON,AMBON,1798.7
KERMARIA-SULARD,PLEUBIAN,1798.7
PENGUILY,MÉRILLAC,1798.7
MONTERFIL,CONCORET,1798.7
PLOUGUERNÉVEL,PLÉVIN,1798.6
KERPERT,SAINT-MAYEUX,1798.6
EPINIAC,SAINT-PÈRE-MARC-EN-POULET,1798.6
MÉNÉAC,LOUDÉAC,1798.6
SAINT-MAUDAN,ÉVELLYS,1798.6
LA SELLE-EN-LUITRÉ,SAINT-CHRISTOPHE-DE-VALAINS,1798.6
SAINT-MÉLOIR-DES-BOIS,PLUMAUDAN,1798.6
MÉRILLAC,PENGUILY,1798.5
TOURCH,LANDRÉVARZEC,1798.5
SAINT-PÈRE-MARC-EN-POULET,EPINIAC,1798.5
MALANSAC,ARZAL,1798.5
SAINT-MAUDAN,LAURENAN,1798.5
PLOURIN,LE CONQUET,1798.5
LA CHAPELLE-BLANCHE,SAINT-JUDOCE,1798.5
GAHARD,DINGÉ,1798.5
SAINT-JUDOCE,LA CHAPELLE-BLANCHE,1798.4
LANGOËLAN,GLOMEL,1798.4
LA MARTYRE,BRASPARTS,1798.4
TRÉMOREL,LA TRINITÉ-PORHOËT,1798.4
SURZUR,LARRÉ,1798.4
ROZ-SUR-COUESNON,BROUALAN,1798.4
GUIPEL,SAINT-GILLES,1798.3
TRANS-LA-FORÊT,SAINT-DOMINEUC,1798.3
GUIPRY-MESSAC,GUER,1798.3
GAËL,SAINT-MALO-DE-BEIGNON,1798.3
DOURDAIN,TORCÉ,1798.3
LE QUILLIO,PONTIVY,1798.3
LIZIO,SAINT-ALLOUESTRE,1798.3
LE VIEUX-BOURG,SAINT-IGEAUX,1798.3
LA VRAIE-CROIX,SAINT-ARMEL,1798.2
PLEUBIAN,KERMARIA-SULARD,1798.2
GOULIEN,LANDUDEC,1798.2
MÉRILLAC,LOSCOUËT-SUR-MEU,1798.2
